150 100
C1 27.78 151.80
C2 239.71 271.49
C3 46.22 102.03
C4 145.04 262.16
C5 93.11 98.20
C6 230.84 29.48
C7 294.68 154.84
C8 297.82 61.56
C9 10.97 116.28
C10 259.44 34.75
C11 93.29 13.21
C12 254.44 261.56
C13 99.99 266.76
C14 30.93 229.85
C15 223.67 6.74
C16 227.55 191.66
C17 62.95 60.17
C18 85.97 159.68
C19 231.84 201.34
C20 81.80 47.25
C21 34.34 287.49
C22 167.89 30.71
C23 162.76 164.81
C24 81.32 282.98
C25 241.20 172.22
C26 51.38 93.41
C27 267.67 162.17
C28 15.22 8.70
C29 270.99 15.14
C30 115.08 25.84
C31 117.58 211.40
C32 267.38 188.84
C33 207.04 133.75
C34 106.69 99.70
C35 59.44 227.52
C36 242.79 23.56
C37 276.84 229.33
C38 170.34 27.87
C39 240.71 209.58
C40 29.18 93.12
C41 193.33 229.95
C42 141.16 284.23
C43 43.12 268.71
C44 77.42 109.03
C45 55.01 275.18
C46 99.10 258.24
C47 97.43 146.25
C48 19.61 33.87
C49 143.60 253.73
C50 84.68 104.58
C51 172.40 152.38
C52 121.71 214.28
C53 32.09 166.84
C54 21.28 90.64
C55 138.29 177.16
C56 71.57 73.11
C57 47.71 144.71
C58 19.82 62.47
C59 208.22 129.34
C60 294.06 170.16
C61 102.66 208.24
C62 51.93 200.88
C63 221.81 213.57
C64 251.02 34.30
C65 178.82 97.61
C66 29.30 133.56
C67 92.41 121.74
C68 179.48 205.65
C69 178.92 245.96
C70 98.22 193.50
C71 18.44 65.28
C72 41.68 174.23
C73 226.50 242.95
C74 227.12 198.26
C75 135.89 87.45
C76 184.67 134.15
C77 61.70 263.23
C78 89.92 238.30
C79 203.87 275.55
C80 281.00 215.34
C81 274.54 297.09
C82 174.82 183.45
C83 153.13 254.29
C84 255.75 18.72
C85 270.32 290.37
C86 0.25 168.01
C87 293.61 32.91
C88 84.66 9.36
C89 129.51 177.05
C90 187.56 213.53
C91 121.81 130.56
C92 63.36 52.02
C93 41.72 166.63
C94 253.00 108.09
C95 125.17 86.54
C96 261.82 37.66
C97 3.48 194.52
C98 43.20 265.47
C99 197.38 292.49
C100 40.73 41.17
C101 241.78 258.05
C102 268.07 208.62
C103 279.09 186.97
C104 136.32 127.24
C105 246.02 115.41
C106 67.72 127.43
C107 2.23 149.45
C108 219.27 213.64
C109 80.78 277.97
C110 172.91 10.04
C111 11.36 144.98
C112 110.57 174.08
C113 288.52 24.02
C114 219.06 157.92
C115 257.81 225.17
C116 83.83 155.08
C117 157.01 183.02
C118 73.57 189.20
C119 199.12 200.62
C120 205.22 161.76
C121 173.89 183.91
C122 271.08 160.51
C123 3.24 136.21
C124 271.82 172.19
C125 99.45 105.87
C126 293.33 88.39
C127 50.25 208.52
C128 179.29 91.22
C129 235.51 78.13
C130 188.79 173.44
C131 171.86 196.90
C132 87.53 221.21
C133 8.19 145.43
C134 38.05 23.06
C135 235.13 75.62
C136 184.74 82.57
C137 77.09 222.43
C138 181.15 273.04
C139 221.69 197.75
C140 110.93 52.62
C141 234.76 70.86
C142 54.24 158.22
C143 9.93 295.22
C144 290.20 178.66
C145 246.52 251.28
C146 225.83 123.88
C147 114.95 198.20
C148 217.80 50.18
C149 173.33 252.55
C150 16.30 79.32
F1 245.86 15.76 0
F2 139.20 142.87 0
F3 142.88 284.48 0
F4 276.74 70.10 0
F5 205.05 117.02 0
F6 78.79 159.13 0
F7 130.42 86.64 0
F8 239.19 114.60 0
F9 94.71 159.08 0
